Title,Price,Ratings,Total_no_of_Ratings
"Boult Audio Z60 Earbuds with 60H Battery, Clear Calling 4 Mics, Made in India, 50ms Low Latency Gaming, 13mm Bass Driver, Type-C Fast Charging, IPX5 Ear Buds Bluetooth 5.3 TWS Ear Buds (Powder Blue)",999,3.9 out of 5 stars,"5,560 ratings"
"Noise Buds N1 in-Ear Truly Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Latency(up to 40 ms), Instacharge(10 min=120 min), BT v5.3(Ice Blue)","1,299",4.2 out of 5 stars,"7,555 ratings"
CrossBeats Sonic 3 TWS Ear buds 30dB Hybrid ANC Bluetooth Earphones 40ms Low Latency Gaming buds with Quad Mics 60hr Playtime13mm Graphene Drivers IPX5 Rating Type-c Fast Charge Hall Switch (White),"1,999",4.3 out of 5 stars,358 ratings
"Boult Audio UFO Truly Wireless in Ear Earbuds with 48H Playtime, Built-in App Support, 45ms Low Latency Gaming, 4 Mics ENC, Breathing LEDs, 13mm Bass Drivers Ear buds TWS, Made in India (Black Gloss)","1,499",4.3 out of 5 stars,"3,161 ratings"
"Winwon Bluetooth Wireless earbuds I12 Earphone with Charging Case Compatible noise cancelling sports android headphones mic Touch Control, Water-Resistance Bass and treble 5.3 and Fast Charging",499,5.0 out of 5 stars,1 rating
"amazon basics True Wireless in-Ear Earbuds with Mic, Touch Control, IPX5 Water-Resistance, Bluetooth 5.3, Up to 30 Hours Play Time, Voice Assistance and Fast Charging (Grey)",999,3.8 out of 5 stars,104 ratings
"Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.3 Ear Buds TWS (Brown)","1,099",3.8 out of 5 stars,"23,752 ratings"
"pTron Bassbuds Turbo TWS Earbuds, 40ms Gaming Low Latency, TruTalk AI-ENC Calls, Deep Bass, 45H Playtime, HD Mic, In-Ear Bluetooth 5.3 Headphones, Type-C Fast Charge & IPX5 Water Resistant (Jet Black)",799,4.0 out of 5 stars,787 ratings
"Sony WF-C500 Truly Wireless Bluetooth Earbuds with 20Hrs Battery, True Wireless Earbuds with Mic for Phone Calls, Quick Charge, Fast Pair, 360 Reality Audio, Upscale Music - DSEE, App Support - Black","5,439",4.0 out of 5 stars,"11,997 ratings"
"Boult Audio Z20 Truly Wireless Bluetooth Ear buds with 51 Hours Playtime, Zen™ Clear Calling ENC Mic, Made in India, Low Latency Gaming, Rich Bass Drivers, IPX5, TWS earbuds bluetooth wireless (Green)",999,3.8 out of 5 stars,"6,297 ratings"
"pTron Bassbuds Duo in Ear Earbuds with 32Hrs Total Playtime, Bluetooth 5.1 Wireless Headphones, Stereo Audio, Touch Control TWS, with Mic, Type-C Fast Charging, IPX4 & Voice Assistance (Blue)",698,3.5 out of 5 stars,"202,657 ratings"
"Boult Audio Z40 Gaming in Ear Earbuds with 60H Playtime, Dual Device Pairing, Built-in App Support, 40ms Ultra Low Latency, Quad Mic ENC, RGB LEDs, Bluetooth 5.4, IPX5 Ear buds TWS (Electric White)","1,299",4.0 out of 5 stars,"1,332 ratings"
Amazon Basics TWS in-Ear Earbuds (AB-T01A) with Fast Charging up to 50 Hours of Playtime | Dual 10mm Driver | IPX4 Water-Resistance | Bluetooth 5.3 | Charging Case with Mic | Touch Control (Blue),999,4.8 out of 5 stars,86 ratings
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with 42H Playtime,Low Latency Mode for Gaming, ENx Tech, IWP, IPX4 Water Resistance, Smooth Touch Controls(Cyan Cider)",999,3.8 out of 5 stars,"198,773 ratings"
Amazon Basics TWS in-Ear Earbuds (AB-T01A) with Fast Charging up to 50 Hours of Playtime | Dual 10mm Driver | IPX4 Water-Resistance | Bluetooth 5.3 | Charging Case with Mic | Touch Control (Blue),999,4.8 out of 5 stars,86 ratings
"Boult Audio K40 True Wireless in Ear Earbuds with 48H Playtime, Clear Calling 4 Mics, 45ms Low Latency Gaming, Premium Grip, 13mm Bass Drivers, Type-C Fast Charging, BTv 5.3 Ear Buds TWS (Berry Red)",999,4.0 out of 5 stars,"2,241 ratings"
"Boult Audio Newly Launched W20 Truly Wireless in Ear Earbuds with 35H Playtime, Zen™ ENC Mic, 45ms Low Latency, 13mm Bass Drivers, Type-C Fast Charging, Made in India, IPX5 ear buds TWS (Pine Green)",899,4.2 out of 5 stars,451 ratings
Amazon Basics TWS in-Ear Earbuds (AB-T01B) with Fast Charging up to 80 Hours of Playtime | Dual 10mm Driver | IPX4 Water-Resistance | Bluetooth 5.3 | Charging Case with Mic | Touch Control (Green),"1,049",4.8 out of 5 stars,87 ratings
"Boult Audio Newly Launched W20 Truly Wireless in Ear Earbuds with 35H Playtime, Zen™ ENC Mic, 45ms Low Latency, 13mm Bass Drivers, Type-C Fast Charging, Made in India, IPX5 ear buds TWS (Space Black)",899,4.2 out of 5 stars,451 ratings
"OnePlus Buds 3 in Ear TWS Bluetooth Earbuds with Upto 49dB Smart Adaptive Noise Cancellation,Hi-Res Sound Quality,Sliding Volume Control,10mins for 7Hours Fast Charging with Upto 44Hrs Playback(Gray)","5,498",4.3 out of 5 stars,"2,604 ratings"
"Noise Pure Pods Wireless Open Ear Earbuds with AirWave™ Technology,Up-to 80H Playtime,Quad Mic with ENC,16mm Neodymium Dynamic Driver,Detachable Pure Band,BTv5.3 (Power Black)","2,998",3.9 out of 5 stars,"1,590 ratings"
"Mivi DuoPods A750 True Wireless Earbuds, 55+ Hrs Playtime, Multi Device Connectivity, AI-ENC for Call Clarity, Type C Fast Charging, Metallic Finish, IPX 4.0, Made in India","1,199",4.3 out of 5 stars,"4,464 ratings"
